,Date,Open,High,Low,Close,Volume,Adj_Close
2022-09-06 00:00:00,1662433200000,19806.0,19815.9,19798.6,19801.3,515.02,19801.30
2022-09-06 00:01:00,1662433260000,19801.3,19801.5,19783.6,19794.0,677.398,19794.00
2022-09-06 00:02:00,1662433320000,19794.1,19797.7,19770.0,19770.1,645.772,19770.10
2022-09-06 00:03:00,1662433380000,19770.0,19784.2,19767.3,19780.8,568.866,19780.80
2022-09-06 00:04:00,1662433440000,19780.8,19782.5,19771.8,19771.8,210.067,19771.80
2022-09-06 00:05:00,1662433500000,19771.9,19784.0,19770.0,19784.0,208.499,19784.00
2022-09-06 00:06:00,1662433560000,19783.9,19784.5,19776.0,19776.4,162.225,19776.40
2022-09-06 00:07:00,1662433620000,19776.3,19776.3,19766.1,19768.9,381.947,19768.90
2022-09-06 00:08:00,1662433680000,19768.8,19768.9,19727.6,19749.5,1383.444,19749.50
2022-09-06 00:09:00,1662433740000,19749.4,19755.0,19736.6,19746.6,385.052,19746.60
2022-09-06 00:10:00,1662433800000,19746.5,19750.4,19733.4,19734.7,490.995,19734.70
2022-09-06 00:11:00,1662433860000,19734.8,19743.1,19734.7,19734.9,231.255,19734.90
2022-09-06 00:12:00,1662433920000,19735.0,19747.6,19730.0,19731.7,306.557,19731.70
2022-09-06 00:13:00,1662433980000,19731.8,19737.0,19712.5,19714.8,421.471,19714.80
2022-09-06 00:14:00,1662434040000,19714.9,19714.9,19696.5,19703.3,1009.575,19703.30
2022-09-06 00:15:00,1662434100000,19703.3,19720.0,19700.1,19702.9,435.983,19702.90
2022-09-06 00:16:00,1662434160000,19702.9,19709.9,19694.2,19709.8,567.369,19709.80
2022-09-06 00:17:00,1662434220000,19709.8,19726.0,19709.8,19717.2,368.237,19717.20
2022-09-06 00:18:00,1662434280000,19717.3,19738.1,19717.2,19727.6,332.051,19727.60
2022-09-06 00:19:00,1662434340000,19727.6,19737.2,19726.8,19731.5,168.863,19731.50
2022-09-06 00:20:00,1662434400000,19731.4,19745.0,19723.7,19741.1,408.791,19741.10
2022-09-06 00:21:00,1662434460000,19741.1,19742.6,19724.5,19727.9,256.543,19727.90
2022-09-06 00:22:00,1662434520000,19727.8,19743.3,19725.4,19742.6,272.796,19742.60
2022-09-06 00:23:00,1662434580000,19742.5,19755.6,19742.5,19752.4,266.821,19752.40
2022-09-06 00:24:00,1662434640000,19752.3,19752.4,19745.6,19746.4,120.295,19746.40
2022-09-06 00:25:00,1662434700000,19746.4,19760.1,19746.4,19751.3,347.864,19751.30
2022-09-06 00:26:00,1662434760000,19751.3,19758.8,19749.7,19754.1,229.126,19754.10
2022-09-06 00:27:00,1662434820000,19754.2,19763.7,19751.2,19754.7,169.63,19754.70
2022-09-06 00:28:00,1662434880000,19754.8,19762.3,19754.7,19758.6,168.832,19758.60
2022-09-06 00:29:00,1662434940000,19758.7,19759.2,19745.6,19759.2,165.9,19759.20
2022-09-06 00:30:00,1662435000000,19759.1,19768.3,19753.5,19764.4,284.754,19764.40
